date,Price,adj_close,close,high,low,open,volume,elapsed_time,price_change,price_trend,volume_change,high_low_spread
03-01-2022,1511,179.07659912109375,182.0099945068359,182.8800048828125,177.7100067138672,177.8300018310547,104487900,52584,2.500415047294746,1,63.10357261603159,2.9092330052463407
04-01-2022,1512,176.8038330078125,179.6999969482422,182.94000244140625,179.1199951171875,182.6300048828125,99310400,52608,-1.269159732,0,-4.955119205,2.132652650933553
05-01-2022,1513,172.10084533691406,174.9199981689453,180.1699981689453,174.63999938964844,179.61000061035156,94537600,52632,-2.659988236,0,-4.805941774,3.166513283682855
06-01-2022,1514,169.22792053222656,172,175.3000030517578,171.63999938964844,172.6999969482422,96904000,52656,-1.669333524,0,2.503131029,2.1323722180868923
07-01-2022,1515,169.39517211914062,172.1699981689453,174.13999938964844,171.02999877929688,172.88999938964844,86709100,52680,0.098836145,1,-10.52061834,1.8183948035717503
10-01-2022,1516,169.41485595703125,172.19000244140625,172.5,168.1699981689453,169.0800018310547,106765600,52752,0.011618907285648739,1,23.13079019387816,2.574776641612806
11-01-2022,1517,172.25828552246094,175.0800018310547,175.17999267578125,170.82000732421875,172.32000732421875,76138300,52776,1.6783781570778755,1,-28.68648703,2.552385648413647
12-01-2022,1518,172.7010498046875,175.52999877929688,177.17999267578125,174.82000732421875,176.1199951171875,74805200,52800,0.25702361408266317,1,-1.750892783,1.3499515231032477
13-01-2022,1519,169.41485595703125,172.19000244140625,176.6199951171875,171.7899932861328,175.77999877929688,84505800,52824,-1.902806564,0,12.96781507,2.811573444216773
14-01-2022,1520,170.28067016601562,173.07000732421875,173.77999877929688,171.08999633789062,171.33999633789062,80440800,52848,0.5110661887074208,1,-4.810320712,1.572273364302192
18-01-2022,1521,167.06336975097656,169.8000030517578,172.5399932861328,169.41000366210938,171.50999450683594,90956700,52944,-1.889411298,0,13.072843631589937,1.8475825254488782
19-01-2022,1522,163.5509490966797,166.22999572753906,171.0800018310547,165.94000244140625,170,94815000,52968,-2.102477774,0,4.241908512512005,3.097504708946465
20-01-2022,1523,161.8586426,164.50999450683594,169.67999267578125,164.17999267578125,166.97999572753906,91420500,52992,-1.034711704,0,-3.580129726,3.349981876818127
21-01-2022,1524,159.7924805,162.41000366210938,166.3300018310547,162.3000030517578,164.4199981689453,122848900,53016,-1.276512622,0,34.37784741934249,2.48305527
24-01-2022,1525,159.0152130126953,161.6199951171875,162.3000030517578,154.6999969482422,160.02000427246094,162294600,53088,-0.4864285,0,32.10911941417465,4.912738366800583
25-01-2022,1526,157.20486450195312,159.77999877929688,162.75999450683594,157.02000427246094,158.97999572753906,115798400,53112,-1.13847073,0,-28.64925882,3.655578956942948
26-01-2022,1527,157.1163330078125,159.69000244140625,164.38999938964844,157.82000732421875,163.5,108275300,53136,-0.056325159,0,-6.496721889,4.162965251885063
27-01-2022,1528,156.6538848876953,159.22000122070312,163.83999633789062,158.27999877929688,162.4499969482422,121954600,53160,-0.294321005,0,12.633813990817844,3.512760678212111
28-01-2022,1529,167.5848388671875,170.3300018310547,170.35000610351562,162.8000030517578,165.7100067138672,179935700,53184,6.977766942076213,1,47.54318410293668,4.637593925202505
31-01-2022,1530,171.9630889892578,174.77999877929688,175,169.50999450683594,170.16000366210938,115541600,53256,2.6125737688043937,1,-35.78728401,3.2387503221485052
01-02-2022,1531,171.79586791992188,174.61000061035156,174.83999633789062,172.30999755859375,174.00999450683594,86213900,53280,-0.097264086,0,-25.38280585,1.4682832192813147
02-02-2022,1532,173.0060577392578,175.83999633789062,175.8800048828125,173.3300018310547,174.75,84914300,53304,0.7044245594408194,1,-1.507413538,1.4711838832398496
03-02-2022,1533,170.11338806152344,172.89999389648438,176.24000549316406,172.1199951171875,174.47999572753906,89418100,53328,-1.671975946,0,5.303935850616437,2.3936849249684573
04-02-2022,1534,169.8277587890625,172.38999938964844,174.10000610351562,170.67999267578125,171.67999267578125,82465400,53352,-0.294965023,0,-7.775495118,2.003757660237854
07-02-2022,1535,169.10861206054688,171.66000366210938,173.9499969482422,170.9499969482422,172.86000061035156,77251200,53424,-0.42345596,0,-6.322894208,1.7548991246301673
08-02-2022,1536,172.23146057128906,174.8300018310547,175.35000610351562,171.42999267578125,171.72999572753906,74829200,53448,1.8466725511581794,1,-3.135226378,2.286655541745336
09-02-2022,1537,173.65989685058594,176.27999877929688,176.64999389648438,174.89999389648438,176.0500030517578,71285000,53472,0.8293753549481586,1,-4.73638633,1.0005717902058637
10-02-2022,1538,169.56173706054688,172.1199951171875,175.47999572753906,171.5500030517578,174.13999938964844,90865900,53496,-2.3598841,0,27.468471627972235,2.2908729850593734
