Price,date,adj_close,close,high,low,open,volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
0,2016-01-04,23.860578536987305,26.337499618530273,26.342500686645508,25.5,25.65250015258789,270597600
1,2016-01-05,23.26264762878418,25.677499771118164,26.462499618530273,25.602500915527344,26.4375,223164000
2,2016-01-06,22.807411193847656,25.174999237060547,25.592500686645508,24.967500686645508,25.139999389648438,273829600
3,2016-01-07,21.844825744628906,24.112499237060547,25.032499313354492,24.107500076293945,24.670000076293945,324377600
4,2016-01-08,21.960338592529297,24.239999771118164,24.77750015258789,24.190000534057617,24.637500762939453,283192000
5,2016-01-11,22.3159236907959,24.63249969482422,24.764999389648438,24.334999084472656,24.74250030517578,198957600
6,2016-01-12,22.63981056213379,24.989999771118164,25.172500610351562,24.709999084472656,25.137500762939453,196616800
7,2016-01-13,22.05773162841797,24.34749984741211,25.297500610351562,24.325000762939453,25.079999923706055,249758400
8,2016-01-14,22.54015350341797,24.8799991607666,25.1200008392334,23.934999465942383,24.489999771118164,252680400
9,2016-01-15,21.99884033203125,24.282499313354492,24.427499771118164,23.84000015258789,24.049999237060547,319335600
10,2016-01-19,21.892396926879883,24.165000915527344,24.662500381469727,23.875,24.602500915527344,212350800
11,2016-01-20,21.921836853027344,24.197500228881836,24.547500610351562,23.354999542236328,23.774999618530273,289337600
12,2016-01-21,21.810863494873047,24.075000762939453,24.469999313354492,23.735000610351562,24.264999389648438,208646000
13,2016-01-22,22.970483779907227,25.354999542236328,25.364999771118164,24.592500686645508,24.657499313354492,263202000
14,2016-01-25,22.522031784057617,24.860000610351562,25.38249969482422,24.802499771118164,25.3799991607666,207178000
15,2016-01-26,22.646604537963867,24.997499465942383,25.219999313354492,24.517499923706055,24.982500076293945,300308000
16,2016-01-27,21.158567428588867,23.354999542236328,24.157499313354492,23.334999084472656,24.010000228881836,533478800
17,2016-01-28,21.310317993164062,23.522499084472656,23.6299991607666,23.09749984741211,23.447500228881836,222715200
18,2016-01-29,22.046411514282227,24.334999084472656,24.334999084472656,23.587499618530273,23.697500228881836,257666000
19,2016-02-01,21.840303421020508,24.107500076293945,24.177499771118164,23.850000381469727,24.11750030517578,163774000
20,2016-02-02,21.398653030395508,23.6200008392334,24.010000228881836,23.56999969482422,23.854999542236328,149428800
21,2016-02-03,21.822181701660156,24.087499618530273,24.209999084472656,23.520000457763672,23.75,183857200
22,2016-02-04,21.99752426147461,24.149999618530273,24.332500457763672,23.797500610351562,23.96500015258789,185886800
23,2016-02-05,21.410017013549805,23.5049991607666,24.229999542236328,23.422500610351562,24.1299991607666,185672400
24,2016-02-08,21.63545799255371,23.752500534057617,23.924999237060547,23.260000228881836,23.282499313354492,216085600
25,2016-02-09,21.630903244018555,23.747499465942383,23.985000610351562,23.482500076293945,23.572500228881836,177324800
26,2016-02-10,21.46693992614746,23.5674991607666,24.087499618530273,23.524999618530273,23.979999542236328,169374400
27,2016-02-11,21.337142944335938,23.424999237060547,23.68000030517578,23.147499084472656,23.447500228881836,200298800
28,2016-02-12,21.403179168701172,23.497499465942383,23.625,23.252500534057617,23.547500610351562,161405600
29,2016-02-16,22.006635665893555,24.15999984741211,24.212499618530273,23.65250015258789,23.7549991607666,196231600
30,2016-02-17,22.343658447265625,24.530000686645508,24.552499771118164,24.037500381469727,24.167499542236328,179452800
31,2016-02-18,21.920103073120117,24.065000534057617,24.72249984741211,24.022499084472656,24.709999084472656,156084000
32,2016-02-19,21.870006561279297,24.010000228881836,24.190000534057617,23.950000762939453,24.0,141496800
33,2016-02-22,22.06128692626953,24.219999313354492,24.225000381469727,23.979999542236328,24.077499389648438,137123200
34,2016-02-23,21.562583923339844,23.672500610351562,24.125,23.637500762939453,24.100000381469727,127770400
35,2016-02-24,21.883668899536133,24.024999618530273,24.094999313354492,23.329999923706055,23.4950008392334,145022800
36,2016-02-25,22.033964157104492,24.190000534057617,24.190000534057617,23.8125,24.012500762939453,110330800
37,2016-02-26,22.068117141723633,24.227500915527344,24.5049991607666,24.145000457763672,24.299999237060547,115964400
38,2016-02-29,22.018022537231445,24.172500610351562,24.5575008392334,24.162500381469727,24.21500015258789,140865200
39,2016-03-01,22.8924560546875,25.13249969482422,25.1924991607666,24.354999542236328,24.412500381469727,201628400
40,2016-03-02,22.942554473876953,25.1875,25.22249984741211,24.90999984741211,25.127500534057617,132678400
41,2016-03-03,23.113340377807617,25.375,25.427499771118164,25.112499237060547,25.145000457763672,147822800
42,2016-03-04,23.457195281982422,25.752500534057617,25.9375,25.342500686645508,25.592500686645508,184220400
43,2016-03-07,23.197595596313477,25.467500686645508,25.707500457763672,25.239999771118164,25.59749984741211,143315600
44,2016-03-08,23.006311416625977,25.25749969482422,25.440000534057617,25.100000381469727,25.19499969482422,126247600
45,2016-03-09,23.026809692382812,25.280000686645508,25.395000457763672,25.0674991607666,25.327499389648438,108806800
46,2016-03-10,23.038196563720703,25.292499542236328,25.559999465942383,25.037500381469727,25.352500915527344,134054400
47,2016-03-11,23.286409378051758,25.565000534057617,25.56999969482422,25.375,25.559999465942383,109632800
48,2016-03-14,23.345609664916992,25.6299991607666,25.727500915527344,25.44499969482422,25.477500915527344,100304400
49,2016-03-15,23.814714431762695,26.145000457763672,26.295000076293945,25.962499618530273,25.989999771118164,160270800
50,2016-03-16,24.13123893737793,26.49250030517578,26.577499389648438,26.147499084472656,26.15250015258789,153214000
51,2016-03-17,24.092531204223633,26.450000762939453,26.61750030517578,26.239999771118164,26.3799991607666,137682800
52,2016-03-18,24.119853973388672,26.479999542236328,26.625,26.297500610351562,26.584999084472656,176820800
53,2016-03-21,24.11758041381836,26.477500915527344,26.912500381469727,26.28499984741211,26.482500076293945,142010800
54,2016-03-22,24.302026748657227,26.68000030517578,26.822500228881836,26.302499771118164,26.3125,129777600
55,2016-03-23,24.167675018310547,26.532499313354492,26.767499923706055,26.475000381469727,26.6200008392334,102814000
56,2016-03-24,24.062929153442383,26.417499542236328,26.5625,26.22249984741211,26.36750030517578,104532000
